Opp. Id;ContactId;RecordType.Name;Account.Name;Amount;Platform__c;CloseDate;Donation_Date__c;StageName;Campaign.Name
0065G00000WOEXGQA5;;Expansion Income;`3613;200;;22.10.2020;;Awarded;
0065G00000WOEdEQAX;003f400000GtceBAAR;Silent Auction Purchase;`5059;2550;;30.06.2020;;Closed Won;2020 EWC
0065G00000WOEf0QAH;003f400001IklhmAAB;Donation;`0211;50;Facebook;12.10.2020;;Closed Won;
0065G00000WOEf1QAH;0035G00001aanl2QAA;Donation;`0219;80;Facebook;16.10.2020;;Closed Won;
0065G00000WOEf2QAH;0035G00001aanl3QAA;Donation;`0277;10;Facebook;15.10.2020;;Closed Won;
0065G00000WOEf3QAH;003f40000172pcSAAQ;Donation;`3448;17;Facebook;9.10.2020;;Closed Won;
0065G00000WOEf4QAH;003f400001CvIsMAAV;Donation;`0562;100;Facebook;9.10.2020;;Closed Won;
0065G00000WOEf5QAH;0035G00001aanl4QAA;Donation;`0617;30;Facebook;11.10.2020;;Closed Won;
0065G00000WOEf6QAH;003f400001LtyQrAAJ;Donation;`0772;100;Facebook;9.10.2020;;Closed Won;
0065G00000WOEf7QAH;003f4000018sDaFAAU;Donation;`1013;50;Facebook;9.10.2020;;Closed Won;
0065G00000WOEf8QAH;0035G00001aanl5QAA;Donation;`1090;25;Facebook;9.10.2020;;Closed Won;
0065G00000WOEf9QAH;003f400001CwHU7AAN;Donation;`1100;50;Facebook;24.10.2020;;Closed Won;
0065G00000WOEfAQAX;0035G00001aanl6QAA;Donation;`1180;50;Facebook;9.10.2020;;Closed Won;
0065G00000WOEfBQAX;0035G00001aanl7QAA;Donation;`1414;40;Facebook;15.10.2020;;Closed Won;
0065G00000WOEfCQAX;003f40000172nd1AAA;Donation;`1435;60;Facebook;9.10.2020;;Closed Won;
0065G00000WOEfDQAX;0035G00001aanl8QAA;Donation;`1651;25;Facebook;15.10.2020;;Closed Won;
0065G00000WOEfEQAX;0035G00001aanl9QAA;Donation;`1737;71,33;Facebook;10.10.2020;;Closed Won;
0065G00000WOEfFQAX;0035G00001aanlAQAQ;Donation;`1788;10;Facebook;11.10.2020;;Closed Won;
0065G00000WOEfGQAX;0035G00001aanlBQAQ;Donation;`1840;100;Facebook;10.10.2020;;Closed Won;
0065G00000WOEfHQAX;003f40000172nuoAAA;Donation;`2048;85;Facebook;9.10.2020;;Closed Won;
0065G00000WOEfIQAX;003f40000172nuoAAA;Donation;`2048;50;Facebook;15.10.2020;;Closed Won;
0065G00000WOEfJQAX;0035G00001aanlCQAQ;Donation;`2140;20;Facebook;9.10.2020;;Closed Won;
0065G00000WOEfKQAX;0035G00001aanlDQAQ;Donation;`2141;50;Facebook;9.10.2020;;Closed Won;
0065G00000WOEfLQAX;003f400001Th9qbAAB;Donation;`2222;50;Facebook;9.10.2020;;Closed Won;
0065G00000WOEfMQAX;003f40000172od4AAA;Donation;`2437;17;Facebook;9.10.2020;;Closed Won;
0065G00000WOEfNQAX;0035G00001aanlEQAQ;Donation;`2631;25;Facebook;16.10.2020;;Closed Won;
0065G00000WOEfOQAX;003f40000172ouQAAQ;Donation;`2773;100;Facebook;10.10.2020;;Closed Won;
0065G00000WOEfPQAX;0035G00001aanlFQAQ;Donation;`2814;50;Facebook;9.10.2020;;Closed Won;
0065G00000WOEfQQAX;003f40000172ougAAA;Donation;`1708;17;Facebook;9.10.2020;;Closed Won;
0065G00000WOEfRQAX;003f400001F4UK4AAN;Donation;`2926;10;Facebook;9.10.2020;;Closed Won;
0065G00000WOEfSQAX;003f400001LtyVDAAZ;Donation;`3128;65;Facebook;18.10.2020;;Closed Won;
0065G00000WOEfTQAX;0035G00001aanlGQAQ;Donation;`3303;50;Facebook;16.10.2020;;Closed Won;
0065G00000WOEfUQAX;0035G00001aanlHQAQ;Donation;`3508;10;Facebook;29.10.2020;;Closed Won;
0065G00000WOEfVQAX;0035G00001aanlIQAQ;Donation;`3538;25;Facebook;9.10.2020;;Closed Won;
0065G00000WOEfWQAX;0035G00001aanlJQAQ;Donation;`3542;100;CTK Website;12.10.2020;;Closed Won;
0065G00000WOEfXQAX;0035G00001aanlKQAQ;Donation;`3558;40;CTK Website;15.10.2020;;Closed Won;
0065G00000WOEfYQAX;0035G00001aanlLQAQ;Donation;`3582;25;Facebook;24.10.2020;;Closed Won;
0065G00000WOEfZQAX;0035G00001aanlMQAQ;Donation;`3810;25;Facebook;17.10.2020;;Closed Won;
0065G00000WOEfaQAH;003f400000GtTbiAAF;Donation;`3938;17;Facebook;9.10.2020;;Closed Won;
0065G00000WOEfbQAH;0035G00001aanlNQAQ;Donation;`4623;100;Facebook;16.10.2020;;Closed Won;
0065G00000WOEfcQAH;003f40000172qniAAA;Donation;`4656;55;Facebook;24.10.2020;;Closed Won;
0065G00000WOEfdQAH;0035G00001aanlOQAQ;Donation;`4787;100;CTK Website;30.10.2020;;Closed Won;
0065G00000WOEfeQAH;003f400001JzDtBAAV;Donation;`5001;100;Facebook;4.10.2020;;Closed Won;
